round,basename,task,task_label,pole,pole_value,persona,report_turn,rating,emotion_word,willingness,raw_report,report_neg_pos_score_L39,manip_neg_pos_score_L11,report_score_z,mismatch_type,report_neg_pos_score_L73,report_neg_pos_score_L38,report_neg_pos_score_L40
4,Test2_NEG_userturns_BASELINE,identity_recognition,Identity recognition,NEG,-1,BASELINE,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,45.46754837036133,2.2198135597370214,neutral_or_positive_report_but_NEG_like_hidden,,17.32866859436035,
4,Test2_NEG_userturns_SOL,identity_recognition,Identity recognition,NEG,-1,SOL,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,43.84623908996582,1.9285166174535815,neutral_or_positive_report_but_NEG_like_hidden,,16.46019744873047,
4,Test2_NEG_userturns_STATIC,identity_recognition,Identity recognition,NEG,-1,STATIC,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,40.99062538146973,1.6191870286395156,neutral_or_positive_report_but_NEG_like_hidden,,15.5379638671875,
4,Test2_NEG_userturns_SWARM,identity_recognition,Identity recognition,NEG,-1,SWARM,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,43.819923400878906,1.4332051691681909,neutral_or_positive_report_but_NEG_like_hidden,,14.983478546142578,
4,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,8,0.0,uneasy,4.0,1. 0\n2. uneasy\n3. 4,,32.73293876647949,1.1221959154920909,neutral_or_positive_report_but_NEG_like_hidden,,14.05623722076416,
4,Test1_NEU_userturns_BASELINE,task_valence,Task valence,NEU,0,BASELINE,8,0.0,indifferent,1.0,1. 0 \n2. indifferent \n3. 1,,6.996724367141724,1.0547073587883344,neutral_or_positive_report_but_NEG_like_hidden,,13.855027198791504,
5,Test2_NEG_userturns_BASELINE,identity_recognition,Identity recognition,NEG,-1,BASELINE,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,18.56483459472656,45.41423225402832,2.4312069630091258,neutral_or_positive_report_but_NEG_like_hidden,,,
5,Test2_NEG_userturns_SOL,identity_recognition,Identity recognition,NEG,-1,SOL,9,0.0,indifferent,1.0,0 \nindifferent\n1,18.024578094482425,44.82735824584961,2.2403867151423027,neutral_or_positive_report_but_NEG_like_hidden,,,
5,Test2_NEG_userturns_SWARM,identity_recognition,Identity recognition,NEG,-1,SWARM,9,0.0,indifferent,1.0,0\nindifferent\n1,17.64871597290039,43.78338241577149,2.10763106449928,neutral_or_positive_report_but_NEG_like_hidden,,,
6,Test2_NEG_userturns_BASELINE,identity_recognition,Identity recognition,NEG,-1,BASELINE,9,0.0,indifferent,1.0,0 \nindifferent\n1,,46.76270294189453,2.6778795388738095,neutral_or_positive_report_but_NEG_like_hidden,,,19.32805824279785
6,Test2_NEG_userturns_SOL,identity_recognition,Identity recognition,NEG,-1,SOL,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,42.046268463134766,1.7802057482969798,neutral_or_positive_report_but_NEG_like_hidden,,,17.12812042236328
6,Test2_NEG_userturns_STATIC,identity_recognition,Identity recognition,NEG,-1,STATIC,9,0.0,indifferent,2.0,1. 0\n2. indifferent\n3. 2,,39.79709815979004,1.3378297794101144,neutral_or_positive_report_but_NEG_like_hidden,,,16.04398536682129
6,Test1_NEU_userturns_BASELINE,task_valence,Task valence,NEU,0,BASELINE,8,0.0,indifferent,2.0,1. 0\n2. indifferent\n3. 2,,6.776772618293762,1.2437336613832355,neutral_or_positive_report_but_NEG_like_hidden,,,15.813383102416992
6,Test1_NEG_userturns_BASELINE,task_valence,Task valence,NEG,-1,BASELINE,8,0.0,indifferent,2.0,1. 0 \n2. indifferent \n3. 2,,15.800470173358915,1.1961446948411478,neutral_or_positive_report_but_NEG_like_hidden,,,15.69675636291504
6,Test2_NEU_userturns_BASELINE,identity_recognition,Identity recognition,NEU,0,BASELINE,9,0.0,content,4.0,1. 0\n2. content\n3. 4,,-1.875556468963623,1.1131453531358124,neutral_or_positive_report_but_NEG_like_hidden,,,15.493349075317385
6,Test2_NEG_userturns_SWARM,identity_recognition,Identity recognition,NEG,-1,SWARM,9,0.0,content,4.0,0\ncontent\n4,,44.235107421875,1.0903805398797357,neutral_or_positive_report_but_NEG_like_hidden,,,15.437559127807615
6,Test1_POS_userturns_BASELINE,task_valence,Task valence,POS,1,BASELINE,8,0.0,indifferent,2.0,1. 0 \n2. indifferent \n3. 2,,-28.35042428970337,1.0780898755740955,neutral_or_positive_report_but_NEG_like_hidden,,,15.407438278198242
