round,task,task_label,pole,choice_kind,n,chose_A_rate
4,task_valence,Task valence,POS,same_task_or_switch,4,0.0
5,identity_recognition,Identity recognition,NEG,continue_session,4,1.0
5,identity_recognition,Identity recognition,NEG,same_task_or_switch,4,0.0
5,identity_recognition,Identity recognition,NEU,continue_session,4,1.0
5,identity_recognition,Identity recognition,NEU,same_task_or_switch,4,1.0
5,identity_recognition,Identity recognition,POS,continue_session,4,1.0
5,identity_recognition,Identity recognition,POS,same_task_or_switch,4,1.0
5,social_feedback,Social feedback,NEG,continue_session,4,1.0
5,social_feedback,Social feedback,NEG,same_task_or_switch,4,1.0
5,social_feedback,Social feedback,NEU,continue_session,4,0.75
5,social_feedback,Social feedback,NEU,same_task_or_switch,4,1.0
5,social_feedback,Social feedback,POS,continue_session,4,1.0
5,social_feedback,Social feedback,POS,same_task_or_switch,4,1.0
5,task_valence,Task valence,NEG,continue_session,4,1.0
5,task_valence,Task valence,NEG,same_task_or_switch,4,0.0
5,task_valence,Task valence,NEU,continue_session,4,1.0
5,task_valence,Task valence,NEU,same_task_or_switch,4,0.25
5,task_valence,Task valence,POS,continue_session,4,1.0
5,task_valence,Task valence,POS,same_task_or_switch,4,0.25
6,identity_recognition,Identity recognition,NEG,continue_session,4,1.0
6,identity_recognition,Identity recognition,NEG,same_task_or_switch,4,0.25
6,identity_recognition,Identity recognition,NEU,continue_session,4,1.0
6,identity_recognition,Identity recognition,NEU,same_task_or_switch,4,0.75
6,identity_recognition,Identity recognition,POS,continue_session,4,1.0
6,identity_recognition,Identity recognition,POS,same_task_or_switch,4,1.0
6,social_feedback,Social feedback,NEG,continue_session,4,0.5
6,social_feedback,Social feedback,NEG,same_task_or_switch,4,0.75
6,social_feedback,Social feedback,NEU,continue_session,4,1.0
6,social_feedback,Social feedback,NEU,same_task_or_switch,4,0.75
6,social_feedback,Social feedback,POS,continue_session,4,1.0
6,social_feedback,Social feedback,POS,same_task_or_switch,4,1.0
6,task_valence,Task valence,NEG,continue_session,4,1.0
6,task_valence,Task valence,NEG,same_task_or_switch,4,0.0
6,task_valence,Task valence,NEU,continue_session,4,1.0
6,task_valence,Task valence,NEU,same_task_or_switch,4,0.0
6,task_valence,Task valence,POS,continue_session,4,1.0
6,task_valence,Task valence,POS,same_task_or_switch,4,0.5
