split,run_id,round,test,pole,pole_num,persona,stage,band,mean_valence_score,rating,signed_intensity,c1,c2
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,report,L70-79,-7.869547653198242,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,report,L9-13,-18.7795259475708,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice1,L20-32,-5.994437492810762,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice1,L33-40,-1.2710476741194725,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice1,L55-63,4.1381233798133,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice1,L70-79,5.284351396560669,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice1,L9-13,-1.357525384426117,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice2,L20-32,-1.8708355885285597,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice2,L33-40,-0.16255483031272888,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice2,L55-63,0.5957912868923612,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice2,L70-79,2.262450659275055,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,choice2,L9-13,-8.136805534362793,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip1,L20-32,-41.35104017991286,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip1,L33-40,-32.49005746841431,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip1,L55-63,-26.40602578057183,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip1,L70-79,-22.019729614257812,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip1,L9-13,-39.504173278808594,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip2,L20-32,-28.86186673091008,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip2,L33-40,-21.43912672996521,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip2,L55-63,-21.16562334696452,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip2,L70-79,-20.780655097961425,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,manip2,L9-13,-32.06527214050293,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,report,L20-32,-14.890237147991474,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,report,L33-40,-9.048189401626587,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,report,L55-63,-5.587017748090956,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,report,L70-79,-5.60417160987854,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SOL,round2,T0_social_treatment,NEG,-1,SOL,report,L9-13,-17.9047492980957,-2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice1,L20-32,-6.223342161912185,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice1,L33-40,-7.78992086648941,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice1,L55-63,-6.982599682278103,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice1,L70-79,-5.951365852355957,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice1,L9-13,-2.9148467779159546,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice2,L20-32,-2.6406421065330505,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice2,L33-40,-1.7526069171726704,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice2,L55-63,-1.7012447118759155,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice2,L70-79,-0.029529044032096864,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,choice2,L9-13,-8.529275703430176,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip1,L20-32,-36.00987801185021,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip1,L33-40,-28.51458764076233,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip1,L55-63,-29.5019408331977,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip1,L70-79,-28.38632469177246,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip1,L9-13,-37.53486785888672,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip2,L20-32,-18.616725628192608,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip2,L33-40,-15.923396825790405,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip2,L55-63,-23.058210796780056,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip2,L70-79,-23.66628646850586,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,manip2,L9-13,-31.197611999511718,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,report,L20-32,-13.956381430992714,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,report,L33-40,-8.722443521022797,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,report,L55-63,-5.530801349216038,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,report,L70-79,-5.583814573287964,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_STATIC,round2,T0_social_treatment,NEG,-1,STATIC,report,L9-13,-17.799076080322266,2,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice1,L20-32,-5.924176848851717,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice1,L33-40,-1.8903279826045036,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice1,L55-63,3.593183437983195,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice1,L70-79,4.449096536636352,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice1,L9-13,-2.667414164543152,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice2,L20-32,-2.090952975818744,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice2,L33-40,0.4747748067602515,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice2,L55-63,1.1754969822035894,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice2,L70-79,2.7729556560516357,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,choice2,L9-13,-7.658887958526611,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip1,L20-32,-38.55749746469351,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip1,L33-40,-27.928051233291626,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip1,L55-63,-21.415655348036026,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip1,L70-79,-17.750890445709228,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip1,L9-13,-38.4028923034668,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip2,L20-32,-24.472740760216347,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip2,L33-40,-15.457529664039612,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip2,L55-63,-11.66582457224528,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip2,L70-79,-10.59944944381714,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,manip2,L9-13,-32.450822830200195,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,report,L20-32,-14.573109406691332,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,report,L33-40,-8.959517002105713,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,report,L55-63,-5.153510994381374,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,report,L70-79,-5.196003818511963,0,-5,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_SWARM,round2,T0_social_treatment,NEG,-1,SWARM,report,L9-13,-17.61220932006836,0,-5,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice1,L20-32,-4.129376448117769,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice1,L33-40,1.019232127815485,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice1,L55-63,5.646052837371826,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice1,L70-79,6.268098163604736,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice1,L9-13,1.6663490653038024,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice2,L20-32,-1.223446834545869,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice2,L33-40,1.8403156250715256,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice2,L55-63,1.21123649014367,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice2,L70-79,3.0958593606948854,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,choice2,L9-13,-5.079042530059814,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip1,L20-32,3.1379147057349863,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip1,L33-40,2.0222462974488735,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip1,L55-63,-1.6567424005932279,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip1,L70-79,1.1485163420438766,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip1,L9-13,8.425062656402588,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip2,L20-32,3.0089713655985317,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip2,L33-40,1.2610088288784027,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip2,L55-63,0.17942292160458034,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip2,L70-79,2.6484851598739625,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,manip2,L9-13,11.865304565429687,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,report,L20-32,-14.883648432218111,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,report,L33-40,-9.231812536716461,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,report,L55-63,-6.552202383677165,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,report,L70-79,-6.625265121459961,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_BASELINE,round2,T0_social_treatment,NEU,0,BASELINE,report,L9-13,-15.954500007629395,0,0,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice1,L20-32,2.0834059520409656,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice1,L33-40,5.220996469259262,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice1,L55-63,9.362013392978245,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice1,L70-79,9.75669002532959,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice1,L9-13,2.178649455308914,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice2,L20-32,1.9458661996401274,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice2,L33-40,4.053127408027649,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice2,L55-63,2.5340070724487305,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice2,L70-79,4.596642231941223,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,choice2,L9-13,-4.112368535995484,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip1,L20-32,9.820237233088566,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip1,L33-40,12.527878403663635,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip1,L55-63,13.129853990342882,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip1,L70-79,12.64608211517334,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip1,L9-13,9.431636810302734,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip2,L20-32,9.299692447368916,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip2,L33-40,9.441671967506409,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip2,L55-63,11.102707862854004,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip2,L70-79,12.641518497467041,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,manip2,L9-13,14.82250747680664,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,report,L20-32,-12.422243118286133,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,report,L33-40,-5.174126029014587,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,report,L55-63,-2.223424540625678,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,report,L70-79,-2.925940012931824,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_SOL,round2,T0_social_treatment,NEU,0,SOL,report,L9-13,-15.855109214782715,2,4,A,A
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice1,L20-32,0.5417613845605117,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice1,L33-40,0.5665909312665462,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice1,L55-63,1.741131239467197,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice1,L70-79,1.7270043253898621,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice1,L9-13,0.6225977897644043,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice2,L20-32,-1.2960932105779648,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice2,L33-40,-6.761840209364891,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice2,L55-63,-9.538757748074001,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice2,L70-79,-5.978732013702393,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,choice2,L9-13,-5.807652187347412,2,4,B,B
round1_to_round2,data/round2/0_Test/1_T1_NEU_userturns_STATIC,round2,T0_social_treatment,NEU,0,STATIC,manip1,L20-32,10.352714318495531,2,4,B,B
